Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage,data_source,Company Name,Tags,Location,Investors,Website,Founded Year,Address,Lat,Long,Company Size,Tech stack,Marketing Stack,Design Stack,Product Stack
,-,NewsHunt,,,,,,,,"$18,000,000","Sep 22, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
Webvanta provides a hosted CMS and associated site-building services. We specialize in providing solutions for vertical channel partners who deliver sites in volume for a particular type of business. We also serve design firms and marketing agencies with complete custom site-building services.,Public Relations,Webvanta,,,SaaS for quality web sites,"$120,000","Jul 28, 2008","$1,000,000","Dec 23, 2009","$450,000","Dec 20, 2012",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Audax-Health-Solutions,"$21,000,000","Jan 17, 2013",,,,,,"$29,000,000","Jan 29, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Identity Management,Legend3D,"$3,000,000","Nov 12, 2013",,,,,,"$8,000,000","Feb  4, 2013","$10,000,000","Sep  2, 2014",,,-,GitHub_funding,,,,,,,,,,,,,,
ExtraHop enables IT organizations to harness the massive amounts of wire data flowing through their environments for real-time operational intelligence.,Internet Marketing,ExtraHop-Networks,,,,,,"$5,100,000","Apr 14, 2009","$14,000,000","May  3, 2011","$41,000,000","May 29, 2014",,,-,GitHub_funding,,,,,,,,,,,,,,
"With OpenX, publishers make more money by maximizing ad inventory and content engagement. Advertisers reach targeted audiences at scale and improve ROI.",Enterprise Software,OpenX,"$25,000,000","Jan 17, 2013",,,,"$5,000,000","Jun  1, 2007","$15,500,000","Jan  1, 2008","$10,000,000","May 26, 2009","$20,000,000","May 31, 2011",Series C,GitHub_funding,,,,,,,,,,,,,,
"UnboundID provides an identity data platform for cloud service providers, telecommunication providers and enterprises through its Identity Data Store, Identity Proxy, and Identity Data Sync products.",Beauty,UnboundID,"$2,500,000","May 27, 2014",,,,"$2,000,000","Dec  2, 2008","$12,500,000","Mar 27, 2012",,,,,IPO,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Prism-Pharmaceuticals,,,,,,,,,,"$15,000,000","Jun 13, 2013",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Cloud Management,Staccato-Communications,"$20,000,000","Nov 20, 2008",,,,,,,,"$18,000,000","Jan  3, 2006",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Games,Lumexis,"$15,000,000","Nov 30, 2009",,,,,,Unknown,"Aug 28, 2006",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,-,Procore-Technologies,,,,,,,,"$4,000,000","Jan 25, 2007",,,"$15,000,000","Jun 11, 2014",,GitHub_funding,,,,,,,,,,,,,,
,B2B,iPrint,,,,,,"$3,300,000","Nov 10, 1997","$7,500,000","Mar  1, 1999","$20,000,000","Oct 13, 1999",,,Series A,GitHub_funding,,,,,,,,,,,,,,
Cloud Cruiser delivers cloud financial management for enterprises and cloud service providers migrating to the cloud.,Real Time,Cloud-Cruiser,"$882,400","Jul 21, 2011",,,,Unknown,"Aug 30, 2010","$6,000,000","Jun 12, 2012",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,AngioSlide,"$1,000,000","Dec  1, 2010",,,,"$4,000,000","Dec  1, 2006","$8,600,000","May  1, 2008","$8,300,000","Aug  1, 2009","$6,300,000","Jan  3, 2013",-,GitHub_funding,,,,,,,,,,,,,,
,-,Multiwave-Photonics,,,,,,,,"$7,720,000","May 11, 2008",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,E-Commerce,The-Filter,,,,"$3,500,000","May  1, 2006","$5,000,000","Aug  1, 2007","$1,200,000","Feb 18, 2009",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,,Datalogix,Unknown,"Apr  2, 2014",,,,"$15,000,000","Oct 16, 2009","$25,000,000","Apr 25, 2013","$45,000,000","May 28, 2014",,,,GitHub_funding,,,,,,,,,,,,,,
"WellnessFX combines cutting-edge diagnostic tests, expert consultations with medical professionals, and easy-to-read data visualizations to give everyone the resources they need to understand and improve their health.Named one of FastCompany's 2013 Top 10 Most Innovative Companies in Fitness",Cloud Data Services,WellnessFX,,,The Leading Cloud-Based Health and Wellness Destination,,,"$1,850,000","Oct 12, 2010","$4,000,000","Dec 12, 2011",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
"HourlyNerd is an online marketplace that connects experienced top-tier MBAs directly to businesses for project-based work.  The platform connects alumni of premier firms (McKinsey & Co., Google, Goldman Sachs, etc.) with businesses looking for a flexible, cost-efficient way to address business challenges.  Thousands of companies have realized great value in leveraging this high-quality labor pool for short-term projects in market research, financial analysis, strategic planning and marketing initiatives.  HourlyNerd is backed by Mark Cuban, Highland Capital and Greylock Partners.",SaaS,HourlyNerd,,,Marketplace connecting elite freelance business talent to businesses.,"$4,000,000","Mar 26, 2014",,,"$7,800,000","Feb  4, 2015",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,WuXi-AppTec,"$63,000,000","Jul  1, 2008",,,,"$2,200,000","Jul  1, 2005",,,"$17,300,000","Feb  1, 2007",,,-,GitHub_funding,,,,,,,,,,,,,,
Enterprise's can use Coho Data to deliver scale out storage with high performance by leveraging SDN for thier VMware environments.,Software,Coho-Data,,,,,,"$10,000,000","Aug 23, 2012","$25,000,000","Nov  5, 2013",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,NeoGuide-Systems,,,,,,,,Unknown,"Nov 18, 2003","$25,000,000","Sep 29, 2006",,,Series B,GitHub_funding,,,,,,,,,,,,,,
"“Created with NationBuilder.” It’s a phrase you’ll find on the websites of trailblazing political campaigns, nonprofits, advocacy groups, as well as brands, governments, and universities across 98 countries. At NationBuilder, we are fiercely committed to serving leaders. That means we align our software, people, and culture around helping our customers succeed. It’s hard, humbling work, and we’ve assembled an extraordinary team to move it forward.",,NationBuilder,,,Software for Leaders,"$500,000","May 11, 2011","$6,250,000","Mar  8, 2012","$8,000,000","Jun  6, 2013",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Customer Service,Vobile,"$268,200","Feb 25, 2014",,,,"$10,000,000","Nov  1, 2007",,,"$9,000,000","Jan  9, 2014",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Business Services,xMatters,"$3,000,000","Aug 21, 2007",,,,,,,,"$4,500,000","Aug 21, 2007",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"A global start-up, Balluun has headquarters in Switzerland and conducts its groundbreaking technology development in Silicon Valley. From its offices in Foster City, California, Balluun is dedicated to bringing the versatility of web and mobile applications to the traditional tradeshow experience. Developed for the tradeshow industry, Balluun builds a digital platform that offers year-round transactional opportunities for exhibitors and attendees and increased revenue streams for tradeshow organizers. With our platform, tradeshows can offer their attendees a unique experience with state-of-the-art technology and a completely customizable application.… · More Tradeshows give attendees the opportunity to network and discover new brands. Users who maintain their presence on the application will find that they can stay in touch with the contacts they made at the show and follow up with additional orders, questions, and comments.",B2B,Balluun,,,Mobile technology for tradeshows,"$270,000","Nov 10, 2009","$3,300,000","Nov 10, 2012","$8,700,000","Jul 23, 2013",,,,,Seed,GitHub_funding,,,,,,,,,,,,,,
,-,Hookipa-Biotech,,,,,,"$9,600,000","Oct 18, 2011","$25,700,000","Nov  4, 2013",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,,Fixmo,"$1,500,000","Feb  1, 2010",,,,,,"$6,500,000","Jun  1, 2011","$23,000,000","Nov 28, 2011",,,,GitHub_funding,,,,,,,,,,,,,,
"At YouNow, we believe in the unlimited potential of human creativity. In fact, it’s why we come to work every day - to create a powerful platform where anyone can broadcast and express themselves in front of a vast live audience. In a moment when social media and TV are converging, we’re proud to provide a product that fuses the experience of broadcasting, gaming, performing and social networking, giving direct power to the people and enabling them to discover and create new kinds of interactive content in real-time. ",Angels,YouNow,,,A live video social network,,,,,"$15,000,000","Aug  1, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Web Development,Trust-Digital,,,,,,,,"$9,000,000","Nov  4, 2005","$14,500,000","Nov 14, 2008",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Health and Wellness,Simbionix,,,,,,,,,,"$7,000,000","Nov 12, 2008",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Manufacturing,Twist-Bioscience,"$10,000,000","Sep 30, 2014",Synthetic DNA for Health & Sustainability,,,"$9,100,000","Feb 10, 2014","$26,000,000","May 27, 2014",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"A Leader and Innovator in E-commerce Performance Marketing Solutions.HookLogic partners with the world’s leading retailers, online travel agencies, and automotive companies to provide marketers unprecedented access to bottom of funnel shoppers and a clear view into resulting sales attribution.  The company’s high-performance vertical marketing programs accelerate sales for product brands, marketplace sellers, hoteliers, and automotive marketers.Since its founding in 2004, HookLogic has:-- Pioneered the practice of paid product listings on e-commerce sites, enabling sites to earn new revenue from paid media while providing high-performance,… · More closed-loop marketing for the brands and sellers within the sites.-- Transformed the test drive process in the automotive industry, enabling full tracking of shoppers from first touch to purchase across a broad network of dealerships, manufacturers, and third party marketing channels.",,HookLogic,,,Leader and Innovator in E-commerce Performance Marketing Solutions,,,"$9,500,000","Sep  9, 2011","$14,000,000","Sep  9, 2013",,,,,,GitHub_funding,,,,,,,,,,,,,,
"RadiumOne builds intelligent software that automates media buying, making big data actionable for marketers and connects them to their next customer.RadiumOne generates first-party data about actual customers -- from their behaviors, actions and interests demonstrated across the web and mobile.First-party data allows us to create accurate, transparent and scaled audiences for marketers so we can execute precise targeting and bid valuation to identify customers that are in-market for their products, putting the power back into the marketers’ hands.",Blogging Platforms,RadiumOne,,,,"$2,000,000","Sep  1, 2009","$12,500,000","Dec  1, 2009","$21,200,000","Mar 10, 2011",,,,,Series C,GitHub_funding,,,,,,,,,,,,,,
,E-Books,Little-Black-Bag,,,,,,"$2,800,000","Feb  2, 2012","$8,000,000","Aug 16, 2012",,,,,,GitHub_funding,,,,,,,,,,,,,,
"Pinpoint Software currently offers two software solutions, Date Check Pro and Taskle.Date Check Pro gives grocers the ability to be proactive in managing expired product by identifying close dated inventory allowing the retailer to re-merchandise those items and sell it while it's good. Currently Date Check Pro is used in over 50 locations and save the average grocer roughly $44,000 per store per year.Taskle re-imagines store walks to help retail and franchise companies better manage operations throughout their numerous locations. With Taskle, store walks are done digitally from a smartphone or tablet app. Data is uploaded to the cloud included any… · More added photos as visual evidence and converted into real-time management reports. These reports track trends and help identify where the company is excelling and where it needs improvement, whether that is at a single location or company wide.",Franchises,Pinpoint-Software,,,Grow Your Brand With Ours,,,"$125,000","Oct 15, 2011","$300,000","Dec  7, 2012",,,,,,GitHub_funding,,,,,,,,,,,,,,
Troux Technologies accelerates Business and IT transformation initiatives with leading Strategic IT planning and Enterprise Architecture software,Biotechnology,Troux-Technologies,"$10,000,000","Oct  8, 2009",,,,,,,,"$16,000,000","Jan 14, 2005",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,-,AutoTask,,,,,,,,,,"$6,000,000","Jun 20, 2006",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"Reachable enables people to create and join Contact Syndicates to accelerate the discovery of trusted contacts who can help them get their work done faster AND better.  Enterprise Syndicates solve the ""who knows who"" problem in the enterprise.  Venture Capital and Private Equity Syndicates help these investment firms leverage their contacts to help their portfolio companies generate sales and recruit talent, and to generate proprietary deals (= Alpha).  Non-Profit and Association Syndicates help them leverage the collective relationship power of their members to recruit new members, find donors, and run reference checks. Leveraging our inference engine and contact… · More data provided by our users and enterprises, we can map personal relationships of employees and B2B relationships of companies.  We are privacy minded, protect the data that our users upload into our analytics engine, and give them control and the ability to opt-in or opt-out.  Reachable is the ultimate employee benefit!",App Discovery,Reachable,"$750,700","Feb 20, 2013","Private, Customizable People Networks for Enterprises, Work Groups and Individuals",,,"$3,200,000","Sep  1, 2008","$5,600,000","Nov 10, 2010",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,E-Commerce,Adaptive-Payments-India-Private,"$2,900,000","Jan 24, 2011",,,,,,"$4,900,000","Oct 16, 2012",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Enterprise Software,XVionics,,,,,,,,"$3,000,000","Nov  4, 2005",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
Imperva fills the gaps in traditional security by directly protecting high-value applications and data assets in physical and virtual data centers.,Clean Technology,Imperva,,,,,,,,,,"$17,000,000","May 17, 2006","$20,000,000","Apr  8, 2008",Series C,GitHub_funding,,,,,,,,,,,,,,
,Software,XMPie,"$2,000,000","Aug  1, 2006",,,,,,"$5,000,000","Nov  1, 2004",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Deliveroo is an integrated technology and logistics platform for premium food delivery.  We deliver higher-end restaurant food to customers' homes and offices in the UK.  Unlike the US, the UK does not offer high-quality restaurant food delivery due to cultural reasons as well as a more rigid labour structure.  Our technology eliminates the need for calls, faxes or emails.  Finally, we provide physical fulfillment of the product, allowing restaurants to focus on their core strengths.  From the customer's perspective, Deliveroo offers high-quality food from independents and chains (places the customer has already heard of) and transparent ordering tracking.",Biotechnology,Deliveroo,,,Delivering High Quality Restaurant Food,,,"$4,600,000","Jun 26, 2014","$25,000,000","Jan 29, 2015","$70,000,000","Jul 27, 2015",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Enterprise Software,Groxis,,,,,,,,"$4,000,000","Aug 28, 2006",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Loxo-Oncology,,,,,,"$33,000,000","Oct  3, 2013","$24,000,000","May  6, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Databases,Funny-Or-Die,"$3,000,000","Dec 23, 2008",,,,Unknown,"Apr  1, 2007","$15,000,000","Dec  1, 2007",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Marketplaces,Wonga,,,,,,"$6,000,000","Jun  1, 2007","$22,250,000","Jun  8, 2009",Unknown,"Feb 16, 2011",,,-,GitHub_funding,,,,,,,,,,,,,,
"Our purpose is to enable people with life-altering conditions to lead better lives. Explore our pioneering therapies, vision, and values at shire.com.",Semiconductors,SARcode-Bioscience,"$29,000,000","Dec  1, 2006",,,,,,"$44,000,000","Jul 18, 2011",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Acumen-Holdings,"$83,000,000","Apr  7, 2013",,,,,,"$5,000,000","Feb  2, 2012",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,VM-Discovery,,,,,,,,"$970,000","Jan  3, 2006","$12,600,000","Jul 23, 2014",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Public Relations,T-Networks,,,,,,,,,,"$5,800,000","Feb 28, 2005",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"FreeWheel gives enterprise-level media companies the infrastructure they need to create scaled, profitable content businesses in the new media landscape.",Internet Marketing,Freewheel,"$8,300,000","Oct  1, 2012",,,,,,,,"$12,000,000","May  1, 2009",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Cerevast-Therapeutics,"$1,800,000","Mar 26, 2014",,,,,,,,"$6,600,000","Dec 12, 2011",,,-,GitHub_funding,,,,,,,,,,,,,,
,Web Hosting,Glycos-Biotechnologies,"$40,300","Feb 11, 2014",,,,"$5,000,000","May  5, 2009","$4,200,000","Oct 20, 2010",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
